"Date","Price","Open","High","Low","Change %"
"Dec 31, 2008","3.017","3.017","3.017","3.017","-2.71%"
"Dec 30, 2008","3.101","3.101","3.101","3.101","0.10%"
"Dec 29, 2008","3.098","3.098","3.098","3.098","1.67%"
"Dec 24, 2008","3.047","3.047","3.047","3.047","-2.25%"
"Dec 23, 2008","3.117","3.117","3.117","3.117","-0.26%"
"Dec 22, 2008","3.125","3.125","3.125","3.125","-1.57%"
"Dec 19, 2008","3.175","3.175","3.175","3.175","-0.38%"
"Dec 18, 2008","3.187","3.187","3.187","3.187","-1.30%"
"Dec 17, 2008","3.229","3.229","3.229","3.229","-4.72%"
"Dec 16, 2008","3.389","3.389","3.389","3.389","-1.97%"
"Dec 15, 2008","3.457","3.457","3.457","3.457","-3.44%"
"Dec 12, 2008","3.580","3.580","3.580","3.580","-0.69%"
"Dec 11, 2008","3.605","3.605","3.605","3.605","0.98%"
"Dec 10, 2008","3.570","3.570","3.570","3.570","0.14%"
"Dec 09, 2008","3.565","3.565","3.565","3.565","-0.39%"
"Dec 08, 2008","3.579","3.579","3.579","3.579","4.86%"
"Dec 05, 2008","3.413","3.413","3.413","3.413","-0.20%"
"Dec 04, 2008","3.420","3.420","3.420","3.420","-0.26%"
"Dec 03, 2008","3.429","3.429","3.429","3.429","-1.01%"
"Dec 02, 2008","3.464","3.464","3.464","3.464","-5.38%"
"Dec 01, 2008","3.661","3.661","3.661","3.661","-2.97%"
"Nov 28, 2008","3.773","3.773","3.773","3.773","-0.13%"
"Nov 27, 2008","3.778","3.778","3.778","3.778","-0.26%"
"Nov 26, 2008","3.788","3.788","3.788","3.788","-2.70%"
"Nov 25, 2008","3.893","3.893","3.893","3.893","-1.59%"
"Nov 24, 2008","3.956","3.956","3.956","3.956","2.51%"
"Nov 21, 2008","3.859","3.859","3.859","3.859","-0.23%"
"Nov 20, 2008","3.868","3.868","3.868","3.868","-4.23%"
"Nov 19, 2008","4.039","4.039","4.039","4.039","-1.08%"
"Nov 18, 2008","4.083","4.083","4.083","4.083","-0.61%"
"Nov 17, 2008","4.108","4.108","4.108","4.108","1.11%"
