"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","4.441","4.441","4.441","4.441","-0.91%"
"Dec 30, 2009","4.482","4.482","4.482","4.482","-0.62%"
"Dec 29, 2009","4.510","4.510","4.510","4.510","1.55%"
"Dec 24, 2009","4.441","4.441","4.441","4.441","-0.07%"
"Dec 23, 2009","4.444","4.444","4.444","4.444","1.79%"
"Dec 22, 2009","4.366","4.366","4.366","4.366","1.35%"
"Dec 21, 2009","4.308","4.308","4.308","4.308","1.51%"
"Dec 18, 2009","4.244","4.244","4.244","4.244","-1.51%"
"Dec 17, 2009","4.309","4.309","4.309","4.309","-0.53%"
"Dec 16, 2009","4.332","4.332","4.332","4.332","-0.76%"
"Dec 15, 2009","4.365","4.365","4.365","4.365","1.63%"
"Dec 14, 2009","4.295","4.295","4.295","4.295","-1.08%"
"Dec 11, 2009","4.342","4.342","4.342","4.342","0.63%"
"Dec 10, 2009","4.315","4.315","4.315","4.315","3.01%"
"Dec 09, 2009","4.189","4.189","4.189","4.189","-0.50%"
"Dec 08, 2009","4.210","4.210","4.210","4.210","0.41%"
"Dec 07, 2009","4.193","4.193","4.193","4.193","-0.12%"
"Dec 04, 2009","4.198","4.198","4.198","4.198","1.21%"
"Dec 03, 2009","4.148","4.148","4.148","4.148","0.88%"
"Dec 02, 2009","4.112","4.112","4.112","4.112","1.03%"
"Dec 01, 2009","4.070","4.070","4.070","4.070","0.54%"
"Nov 30, 2009","4.048","4.048","4.048","4.048","-0.39%"
"Nov 27, 2009","4.064","4.064","4.064","4.064","0.64%"
"Nov 26, 2009","4.038","4.038","4.038","4.038","-1.54%"
"Nov 25, 2009","4.101","4.101","4.101","4.101","0.02%"
"Nov 24, 2009","4.100","4.100","4.100","4.100","0.00%"
"Nov 23, 2009","4.100","4.100","4.100","4.100","0.37%"
"Nov 20, 2009","4.085","4.085","4.085","4.085","-0.07%"
"Nov 19, 2009","4.088","4.088","4.088","4.088","-0.94%"
"Nov 18, 2009","4.127","4.127","4.127","4.127","0.58%"
"Nov 17, 2009","4.103","4.103","4.103","4.103","-2.08%"
"Nov 16, 2009","4.190","4.190","4.190","4.190","-1.32%"
"Nov 13, 2009","4.246","4.246","4.246","4.246","0.62%"
"Nov 12, 2009","4.220","4.220","4.220","4.220","0.88%"
"Nov 11, 2009","4.183","4.183","4.183","4.183","-1.09%"
"Nov 10, 2009","4.229","4.229","4.229","4.229","-1.03%"
"Nov 09, 2009","4.273","4.273","4.273","4.273","-1.09%"
"Nov 06, 2009","4.320","4.320","4.320","4.320","0.51%"
"Nov 05, 2009","4.298","4.298","4.298","4.298","1.34%"
"Nov 04, 2009","4.241","4.241","4.241","4.241","1.61%"
"Nov 03, 2009","4.174","4.174","4.174","4.174","1.68%"
"Nov 02, 2009","4.105","4.105","4.105","4.105","1.53%"
"Oct 30, 2009","4.043","4.043","4.043","4.043","-1.44%"
"Oct 29, 2009","4.102","4.102","4.102","4.102","1.99%"
"Oct 28, 2009","4.022","4.022","4.022","4.022","-0.35%"
"Oct 27, 2009","4.036","4.036","4.036","4.036","-1.75%"
"Oct 26, 2009","4.108","4.108","4.108","4.108","0.15%"
"Oct 23, 2009","4.102","4.102","4.102","4.102","-0.65%"
"Oct 22, 2009","4.129","4.129","4.129","4.129","-0.22%"
"Oct 21, 2009","4.138","4.138","4.138","4.138","3.97%"
"Oct 20, 2009","3.980","3.980","3.980","3.980","-0.33%"
"Oct 19, 2009","3.993","3.993","3.993","3.993","-0.37%"
"Oct 16, 2009","4.008","4.008","4.008","4.008","0.93%"
"Oct 15, 2009","3.971","3.971","3.971","3.971","1.15%"
