"Date","Price","Open","High","Low","Change %"
"Dec 30, 2009","4.110","4.110","4.110","4.110","0.27%"
"Dec 29, 2009","4.099","4.099","4.099","4.099","-0.10%"
"Dec 28, 2009","4.103","4.103","4.103","4.103","0.91%"
"Dec 23, 2009","4.066","4.066","4.066","4.066","1.85%"
"Dec 22, 2009","3.992","3.992","3.992","3.992","1.04%"
"Dec 21, 2009","3.951","3.951","3.951","3.951","1.44%"
"Dec 18, 2009","3.895","3.895","3.895","3.895","0.00%"
"Dec 17, 2009","3.895","3.895","3.895","3.895","-1.49%"
"Dec 16, 2009","3.954","3.954","3.954","3.954","-1.64%"
"Dec 15, 2009","4.020","4.020","4.020","4.020","1.18%"
"Dec 14, 2009","3.973","3.973","3.973","3.973","-0.87%"
"Dec 11, 2009","4.008","4.008","4.008","4.008","0.38%"
"Dec 10, 2009","3.993","3.993","3.993","3.993","1.35%"
"Dec 09, 2009","3.940","3.940","3.940","3.940","0.23%"
"Dec 08, 2009","3.931","3.931","3.931","3.931","-0.88%"
"Dec 07, 2009","3.966","3.966","3.966","3.966","-0.97%"
"Dec 04, 2009","4.005","4.005","4.005","4.005","0.75%"
"Dec 03, 2009","3.975","3.975","3.975","3.975","0.53%"
"Dec 02, 2009","3.954","3.954","3.954","3.954","0.28%"
"Dec 01, 2009","3.943","3.943","3.943","3.943","0.48%"
"Nov 30, 2009","3.924","3.924","3.924","3.924","-0.76%"
"Nov 27, 2009","3.954","3.954","3.954","3.954","-0.23%"
"Nov 26, 2009","3.963","3.963","3.963","3.963","-1.93%"
"Nov 25, 2009","4.041","4.041","4.041","4.041","0.77%"
"Nov 24, 2009","4.010","4.010","4.010","4.010","-0.05%"
"Nov 23, 2009","4.012","4.012","4.012","4.012","0.80%"
"Nov 20, 2009","3.980","3.980","3.980","3.980","-0.52%"
"Nov 19, 2009","4.001","4.001","4.001","4.001","-0.35%"
"Nov 18, 2009","4.015","4.015","4.015","4.015","-0.07%"
"Nov 17, 2009","4.018","4.018","4.018","4.018","-0.86%"
"Nov 16, 2009","4.053","4.053","4.053","4.053","-1.22%"
"Nov 13, 2009","4.103","4.103","4.103","4.103","0.22%"
"Nov 12, 2009","4.094","4.094","4.094","4.094","0.37%"
"Nov 11, 2009","4.079","4.079","4.079","4.079","0.10%"
"Nov 10, 2009","4.075","4.075","4.075","4.075","-1.04%"
"Nov 09, 2009","4.118","4.118","4.118","4.118","-1.32%"
"Nov 06, 2009","4.173","4.173","4.173","4.173","0.87%"
"Nov 05, 2009","4.137","4.137","4.137","4.137","0.49%"
"Nov 04, 2009","4.117","4.117","4.117","4.117","1.11%"
"Nov 03, 2009","4.072","4.072","4.072","4.072","0.57%"
"Nov 02, 2009","4.049","4.049","4.049","4.049","0.60%"
"Oct 30, 2009","4.025","4.025","4.025","4.025","-2.28%"
"Oct 29, 2009","4.119","4.119","4.119","4.119","1.23%"
"Oct 28, 2009","4.069","4.069","4.069","4.069","-0.22%"
"Oct 27, 2009","4.078","4.078","4.078","4.078","-1.85%"
"Oct 26, 2009","4.155","4.155","4.155","4.155","0.17%"
"Oct 23, 2009","4.148","4.148","4.148","4.148","1.12%"
"Oct 22, 2009","4.102","4.102","4.102","4.102","-0.70%"
"Oct 21, 2009","4.131","4.131","4.131","4.131","2.03%"
"Oct 20, 2009","4.049","4.049","4.049","4.049","-1.00%"
"Oct 19, 2009","4.090","4.090","4.090","4.090","0.02%"
"Oct 16, 2009","4.089","4.089","4.089","4.089","-0.75%"
"Oct 15, 2009","4.120","4.120","4.120","4.120","1.50%"
"Oct 14, 2009","4.059","4.059","4.059","4.059","1.65%"
"Oct 13, 2009","3.993","3.993","3.993","3.993","0.76%"
"Oct 12, 2009","3.963","3.963","3.963","3.963","-0.50%"
"Oct 09, 2009","3.983","3.983","3.983","3.983","2.29%"
"Oct 08, 2009","3.894","3.894","3.894","3.894","-0.21%"
"Oct 07, 2009","3.902","3.902","3.902","3.902","-1.29%"
"Oct 06, 2009","3.953","3.953","3.953","3.953","0.92%"
"Oct 05, 2009","3.917","3.917","3.917","3.917","0.13%"
"Oct 02, 2009","3.912","3.912","3.912","3.912","-0.96%"
"Oct 01, 2009","3.950","3.950","3.950","3.950","-0.73%"
"Sep 30, 2009","3.979","3.979","3.979","3.979","0.91%"
"Sep 29, 2009","3.943","3.943","3.943","3.943","-1.52%"
"Sep 28, 2009","4.004","4.004","4.004","4.004","0.33%"
"Sep 25, 2009","3.991","3.991","3.991","3.991","-2.18%"
"Sep 24, 2009","4.080","4.080","4.080","4.080","-1.43%"
"Sep 23, 2009","4.139","4.139","4.139","4.139","-0.60%"
"Sep 22, 2009","4.164","4.164","4.164","4.164","0.24%"
"Sep 21, 2009","4.154","4.154","4.154","4.154","0.12%"
"Sep 18, 2009","4.149","4.149","4.149","4.149","1.22%"
"Sep 17, 2009","4.099","4.099","4.099","4.099","0.47%"
"Sep 16, 2009","4.080","4.080","4.080","4.080","1.04%"
"Sep 15, 2009","4.038","4.038","4.038","4.038","0.25%"
"Sep 14, 2009","4.028","4.028","4.028","4.028","0.27%"
"Sep 11, 2009","4.017","4.017","4.017","4.017","-1.76%"
"Sep 10, 2009","4.089","4.089","4.089","4.089","-1.78%"
"Sep 09, 2009","4.163","4.163","4.163","4.163","2.08%"
"Sep 08, 2009","4.078","4.078","4.078","4.078","0.99%"
"Sep 07, 2009","4.038","4.038","4.038","4.038","0.10%"
"Sep 04, 2009","4.034","4.034","4.034","4.034","0.47%"
"Sep 03, 2009","4.015","4.015","4.015","4.015","0.70%"
"Sep 02, 2009","3.987","3.987","3.987","3.987","0.35%"
"Sep 01, 2009","3.973","3.973","3.973","3.973","-0.03%"
"Aug 31, 2009","3.974","3.974","3.974","3.974","0.20%"
"Aug 28, 2009","3.966","3.966","3.966","3.966","-0.28%"
"Aug 27, 2009","3.977","3.977","3.977","3.977","0.35%"
"Aug 26, 2009","3.963","3.963","3.963","3.963","-0.58%"
"Aug 25, 2009","3.986","3.986","3.986","3.986","-0.05%"
"Aug 24, 2009","3.988","3.988","3.988","3.988","-0.23%"
"Aug 21, 2009","3.997","3.997","3.997","3.997","0.93%"
"Aug 20, 2009","3.960","3.960","3.960","3.960","-0.10%"
"Aug 19, 2009","3.964","3.964","3.964","3.964","-1.07%"
"Aug 18, 2009","4.007","4.007","4.007","4.007","0.02%"
"Aug 17, 2009","4.006","4.006","4.006","4.006","-0.27%"
"Aug 14, 2009","4.017","4.017","4.017","4.017","-1.93%"
"Aug 13, 2009","4.096","4.096","4.096","4.096","0.27%"
"Aug 12, 2009","4.085","4.085","4.085","4.085","-0.56%"
"Aug 11, 2009","4.108","4.108","4.108","4.108","0.07%"
"Aug 10, 2009","4.105","4.105","4.105","4.105","-1.61%"
"Aug 07, 2009","4.172","4.172","4.172","4.172","2.58%"
"Aug 06, 2009","4.067","4.067","4.067","4.067","0.94%"
"Aug 05, 2009","4.029","4.029","4.029","4.029","-1.13%"
"Aug 04, 2009","4.075","4.075","4.075","4.075","0.00%"
"Aug 03, 2009","4.075","4.075","4.075","4.075","1.39%"
"Jul 31, 2009","4.019","4.019","4.019","4.019","-3.32%"
"Jul 30, 2009","4.157","4.157","4.157","4.157","-0.79%"
"Jul 29, 2009","4.190","4.190","4.190","4.190","-0.64%"
"Jul 28, 2009","4.217","4.217","4.217","4.217","-1.82%"
"Jul 27, 2009","4.295","4.295","4.295","4.295","0.16%"
"Jul 24, 2009","4.288","4.288","4.288","4.288","0.19%"
"Jul 23, 2009","4.280","4.280","4.280","4.280","0.94%"
"Jul 22, 2009","4.240","4.240","4.240","4.240","0.52%"
"Jul 21, 2009","4.218","4.218","4.218","4.218","-0.82%"
"Jul 20, 2009","4.253","4.253","4.253","4.253","0.16%"
"Jul 17, 2009","4.246","4.246","4.246","4.246","2.54%"
"Jul 16, 2009","4.141","4.141","4.141","4.141","-1.26%"
"Jul 15, 2009","4.194","4.194","4.194","4.194","1.23%"
"Jul 14, 2009","4.143","4.143","4.143","4.143","0.05%"
"Jul 13, 2009","4.141","4.141","4.141","4.141","0.12%"
"Jul 10, 2009","4.136","4.136","4.136","4.136","-1.29%"
"Jul 09, 2009","4.190","4.190","4.190","4.190","0.82%"
"Jul 08, 2009","4.156","4.156","4.156","4.156","-0.60%"
"Jul 07, 2009","4.181","4.181","4.181","4.181","0.41%"
"Jul 06, 2009","4.164","4.164","4.164","4.164","-0.76%"
"Jul 03, 2009","4.196","4.196","4.196","4.196","-0.05%"
"Jul 02, 2009","4.198","4.198","4.198","4.198","-1.82%"
"Jul 01, 2009","4.276","4.276","4.276","4.276","0.54%"
"Jun 30, 2009","4.253","4.253","4.253","4.253","-0.19%"
"Jun 29, 2009","4.261","4.261","4.261","4.261","-0.54%"
"Jun 26, 2009","4.284","4.284","4.284","4.284","-0.90%"
"Jun 25, 2009","4.323","4.323","4.323","4.323","-0.39%"
