,Date,M01,M03,M06,Y01,Y02,Y05,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
0,1993-03-05,-256.0,0.58,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
1,1993-03-09,-256.0,0.349,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
2,1993-03-16,-256.0,0.329,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
3,1993-04-05,-256.0,0.779,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
4,1993-04-06,-256.0,0.9,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
5,1993-04-07,-256.0,0.91,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
6,1993-04-08,-256.0,0.949,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.7241659164428711,0.8535399436950684,-0.20043402910232544,17.14452362060547
7,1993-04-08,-256.0,0.949,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.6599570512771606,0.8319299817085266,-0.03750315308570862,65.34981536865234
8,1993-04-08,-256.0,0.949,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.2293322086334229,0.7863157987594604,3.085749626159668,127.46068572998047
9,1993-04-12,-256.0,0.799,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.1568915843963623,0.9126355051994324,-0.9541984796524048,16.676313400268555
10,1993-04-12,-256.0,0.799,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.7676296830177307,0.8248183727264404,1.486682653427124,64.24403381347656
11,1993-04-12,-256.0,0.799,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.9117284417152405,0.8542401194572449,0.19400137662887573,129.00442504882812
12,1993-04-13,-256.0,0.809,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.422546148300171,0.8990465998649597,-0.2375015765428543,19.358808517456055
13,1993-04-13,-256.0,0.809,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.19168446958065033,0.9776036143302917,-1.7078590393066406,64.37349700927734
14,1993-04-13,-256.0,0.809,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.1465848684310913,0.908014178276062,0.8884934186935425,128.37855529785156
15,1993-04-29,-256.0,1.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.9137470126152039,0.9617918133735657,0.3262639343738556,18.519691467285156
16,1993-04-29,-256.0,1.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.8013356924057007,0.9982172250747681,-0.5311770439147949,64.88473510742188
17,1993-04-29,-256.0,1.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.5321221947669983,0.9847284555435181,0.20548854768276215,128.32711791992188
18,1993-04-30,-256.0,1.11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.087816596031189,0.9020306468009949,1.0222563743591309,16.208091735839844
19,1993-04-30,-256.0,1.11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.3460874557495117,0.9788050055503845,0.6569271683692932,64.85614776611328
20,1993-04-30,-256.0,1.11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.9932676553726196,0.994467556476593,0.6496018767356873,128.6805419921875
21,1993-05-31,-256.0,1.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.17261698842048645,0.9839313626289368,0.9125456213951111,16.1252498626709
22,1993-05-31,-256.0,1.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.626803994178772,0.9817650318145752,0.6450431942939758,66.7408218383789
23,1993-05-31,-256.0,1.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.8409081101417542,0.9659404754638672,2.0505642890930176,128.94024658203125
24,1993-06-02,-256.0,1.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,0.2297353595495224,0.8770847916603088,1.858681082725525,15.976165771484375
25,1993-06-02,-256.0,1.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,1.4239051342010498,0.9075586795806885,2.398890972137451,63.90422058105469
