,Date,Y01,Y02,Y03,Y05,Y07,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
13260,2019-08-21,2.563,2.657,2.803,2.93,3.093,3.062,3.3760000000000003,3.4410000000000003,3.685,3.7693862915039062,2.5807619094848633,-1.3334907293319702,27.036191940307617
13261,2019-08-21,2.563,2.657,2.803,2.93,3.093,3.062,3.3760000000000003,3.4410000000000003,3.685,4.044600009918213,2.4868059158325195,-0.34463807940483093,73.57310485839844
13262,2019-08-21,2.563,2.657,2.803,2.93,3.093,3.062,3.3760000000000003,3.4410000000000003,3.685,3.884847640991211,2.4775967597961426,0.9310235977172852,136.59725952148438
13263,2019-08-22,2.553,2.658,2.82,2.949,3.107,3.077,3.392,3.4610000000000003,3.708,3.750908136367798,2.6086273193359375,-1.4590858221054077,24.354917526245117
13264,2019-08-22,2.553,2.658,2.82,2.949,3.107,3.077,3.392,3.4610000000000003,3.708,4.041911602020264,2.4882888793945312,-0.27603670954704285,76.43486785888672
13265,2019-08-22,2.553,2.658,2.82,2.949,3.107,3.077,3.392,3.4610000000000003,3.708,3.8254146575927734,2.473945140838623,1.0577377080917358,138.1144256591797
13266,2019-08-23,2.547,2.66,2.814,2.94,3.11,3.07,3.385,3.455,3.705,3.770111560821533,2.5868756771087646,-1.3561240434646606,26.086984634399414
13267,2019-08-23,2.547,2.66,2.814,2.94,3.11,3.07,3.385,3.455,3.705,4.0332159996032715,2.4823083877563477,-0.2892666757106781,75.15248107910156
13268,2019-08-23,2.547,2.66,2.814,2.94,3.11,3.07,3.385,3.455,3.705,3.9406449794769287,2.4889824390411377,0.8237168788909912,137.02235412597656
13269,2019-08-26,2.539,2.627,2.826,2.9530000000000003,3.104,3.0810000000000004,3.407,3.4760000000000004,3.715,3.7788212299346924,2.5757949352264404,-1.3442456722259521,26.398420333862305
13270,2019-08-26,2.539,2.627,2.826,2.9530000000000003,3.104,3.0810000000000004,3.407,3.4760000000000004,3.715,4.0444464683532715,2.4855477809906006,-0.2244291752576828,78.46521759033203
13271,2019-08-26,2.539,2.627,2.826,2.9530000000000003,3.104,3.0810000000000004,3.407,3.4760000000000004,3.715,3.9290685653686523,2.484161138534546,0.850303590297699,136.4725799560547
13272,2019-08-27,2.524,2.624,2.815,2.937,3.1010000000000004,3.075,3.394,3.463,3.723,3.773815155029297,2.5886099338531494,-1.3629391193389893,25.990034103393555
13273,2019-08-27,2.524,2.624,2.815,2.937,3.1010000000000004,3.075,3.394,3.463,3.723,4.037603378295898,2.4845051765441895,-0.28225380182266235,74.64088439941406
13274,2019-08-27,2.524,2.624,2.815,2.937,3.1010000000000004,3.075,3.394,3.463,3.723,3.8742856979370117,2.4826345443725586,0.9899002313613892,138.8155975341797
