"Date","Price","Open","High","Low","Change %"
"Jan 01, 2015","-0.052","-0.053","-0.052","-0.053","-1.89%"
"Dec 31, 2014","-0.053","-0.053","-0.021","-0.053","0.00%"
"Dec 30, 2014","-0.053","-0.017","-0.001","-0.060","6.00%"
"Dec 29, 2014","-0.050","-0.013","0.002","-0.051","-1.96%"
"Dec 28, 2014","-0.051","-0.051","-0.051","-0.051","0.00%"
"Dec 25, 2014","-0.051","-0.055","-0.051","-0.055","-7.27%"
"Dec 24, 2014","-0.055","-0.055","-0.046","-0.055","48.65%"
"Dec 23, 2014","-0.037","-0.029","-0.029","-0.044","-9.76%"
"Dec 22, 2014","-0.041","-0.019","-0.015","-0.041","127.78%"
"Dec 19, 2014","-0.018","-0.004","0.072","-0.018","260.00%"
"Dec 18, 2014","-0.005","-0.007","-0.003","-0.009","150.00%"
"Dec 17, 2014","-0.002","0.003","0.003","-0.003","-140.00%"
"Dec 16, 2014","0.005","0.006","0.006","0.005","25.00%"
"Dec 15, 2014","0.004","0.006","0.006","0.004","100.00%"
"Dec 14, 2014","0.002","0.002","0.002","0.002","0.00%"
"Dec 12, 2014","0.002","-0.001","0.002","-0.001","-166.67%"
"Dec 11, 2014","-0.003","-0.003","0.003","-0.003","-108.57%"
"Dec 10, 2014","0.035","-0.010","0.035","-0.017","-683.33%"
"Dec 09, 2014","-0.006","-0.024","0.011","-0.024","-50.00%"
"Dec 08, 2014","-0.012","-0.012","-0.009","-0.023","9.09%"
"Dec 05, 2014","-0.011","-0.013","0.012","-0.019","-38.89%"
"Dec 04, 2014","-0.018","0.007","0.009","-0.021","200.00%"
"Dec 03, 2014","-0.006","-0.008","0.009","-0.022","-14.29%"
"Dec 02, 2014","-0.007","-0.006","0.011","-0.020","-53.33%"
"Dec 01, 2014","-0.015","-0.015","0.003","-0.026","650.00%"
"Nov 30, 2014","-0.002","-0.002","-0.002","-0.002","0.00%"
"Nov 28, 2014","-0.002","-0.014","0.001","-0.014","-93.55%"
"Nov 27, 2014","-0.031","-0.012","-0.010","-0.031","138.46%"
"Nov 26, 2014","-0.013","-0.030","-0.009","-0.035","-55.17%"
"Nov 25, 2014","-0.029","-0.020","0.003","-0.036","26.09%"
"Nov 24, 2014","-0.023","-0.017","-0.017","-0.028","9.52%"
"Nov 21, 2014","-0.021","-0.009","-0.005","-0.021","90.91%"
"Nov 20, 2014","-0.011","-0.004","-0.004","-0.016","83.33%"
"Nov 19, 2014","-0.006","-0.008","-0.004","-0.015","-53.85%"
"Nov 18, 2014","-0.013","-0.002","-0.002","-0.013","160.00%"
"Nov 17, 2014","-0.005","-0.004","-0.004","-0.006","66.67%"
"Nov 16, 2014","-0.003","-0.003","-0.003","-0.003","0.00%"
"Nov 14, 2014","-0.003","-0.006","-0.003","-0.008","0.00%"
"Nov 13, 2014","-0.003","-0.002","-0.002","-0.005","-78.57%"
"Nov 12, 2014","-0.014","-0.010","0.048","-0.014","-380.00%"
"Nov 11, 2014","0.005","0.003","0.076","-0.014","-135.71%"
"Nov 10, 2014","-0.014","-0.009","0.075","-0.014","-127.45%"
"Nov 08, 2014","0.051","0.051","0.051","-0.014","-666.67%"
"Nov 07, 2014","-0.009","0.000","0.055","-0.010","0.00%"
"Nov 06, 2014","-0.009","0.001","0.050","-0.009","0.00%"
