"Date","Price","Open","High","Low","Change %"
"Dec 30, 2009","2.025","2.025","2.025","2.025","1.55%"
"Dec 29, 2009","1.994","1.994","1.994","1.994","1.06%"
"Dec 28, 2009","1.973","1.973","1.973","1.973","1.34%"
"Dec 23, 2009","1.947","1.947","1.947","1.947","-0.82%"
"Dec 22, 2009","1.963","1.963","1.963","1.963","1.08%"
"Dec 21, 2009","1.942","1.942","1.942","1.942","0.52%"
"Dec 18, 2009","1.932","1.932","1.932","1.932","-1.58%"
"Dec 17, 2009","1.963","1.963","1.963","1.963","-1.36%"
"Dec 16, 2009","1.990","1.990","1.990","1.990","-1.04%"
"Dec 15, 2009","2.011","2.011","2.011","2.011","1.06%"
"Dec 14, 2009","1.990","1.990","1.990","1.990","-0.80%"
"Dec 11, 2009","2.006","2.006","2.006","2.006","1.06%"
"Dec 10, 2009","1.985","1.985","1.985","1.985","1.64%"
"Dec 09, 2009","1.953","1.953","1.953","1.953","-2.88%"
"Dec 08, 2009","2.011","2.011","2.011","2.011","0.50%"
"Dec 07, 2009","2.001","2.001","2.001","2.001","-0.74%"
"Dec 04, 2009","2.016","2.016","2.016","2.016","1.05%"
"Dec 03, 2009","1.995","1.995","1.995","1.995","0.50%"
"Dec 02, 2009","1.985","1.985","1.985","1.985","2.11%"
"Dec 01, 2009","1.944","1.944","1.944","1.944","-1.07%"
"Nov 30, 2009","1.965","1.965","1.965","1.965","-1.31%"
"Nov 27, 2009","1.991","1.991","1.991","1.991","-0.25%"
"Nov 26, 2009","1.996","1.996","1.996","1.996","-1.29%"
"Nov 25, 2009","2.022","2.022","2.022","2.022","-3.02%"
"Nov 23, 2009","2.085","2.085","2.085","2.085","-1.23%"
"Nov 19, 2009","2.111","2.111","2.111","2.111","-0.05%"
"Nov 18, 2009","2.112","2.112","2.112","2.112","1.29%"
"Nov 17, 2009","2.085","2.085","2.085","2.085","0.24%"
"Nov 16, 2009","2.080","2.080","2.080","2.080","-1.00%"
"Nov 13, 2009","2.101","2.101","2.101","2.101","-0.24%"
"Nov 12, 2009","2.106","2.106","2.106","2.106","1.25%"
"Nov 11, 2009","2.080","2.080","2.080","2.080","-0.76%"
"Nov 10, 2009","2.096","2.096","2.096","2.096","-0.24%"
"Nov 09, 2009","2.101","2.101","2.101","2.101","-0.76%"
"Nov 06, 2009","2.117","2.117","2.117","2.117","0.47%"
"Nov 05, 2009","2.107","2.107","2.107","2.107","-2.68%"
"Nov 04, 2009","2.165","2.165","2.165","2.165","16.84%"
"Nov 03, 2009","1.853","1.853","1.853","1.853","-13.97%"
"Nov 02, 2009","2.154","2.154","2.154","2.154","-0.55%"
"Oct 30, 2009","2.166","2.166","2.166","2.166","-2.52%"
"Oct 29, 2009","2.222","2.222","2.222","2.222","14.30%"
"Oct 28, 2009","1.944","1.944","1.944","1.944","-14.40%"
"Oct 27, 2009","2.271","2.271","2.271","2.271","0.04%"
"Oct 26, 2009","2.270","2.270","2.270","2.270","0.04%"
"Oct 23, 2009","2.269","2.269","2.269","2.269","0.58%"
"Oct 22, 2009","2.256","2.256","2.256","2.256","-0.88%"
"Oct 21, 2009","2.276","2.276","2.276","2.276","2.34%"
"Oct 20, 2009","2.224","2.224","2.224","2.224","-1.81%"
"Oct 19, 2009","2.265","2.265","2.265","2.265","0.98%"
"Oct 16, 2009","2.243","2.243","2.243","2.243","2.00%"
"Oct 15, 2009","2.199","2.199","2.199","2.199","1.29%"
"Oct 14, 2009","2.171","2.171","2.171","2.171","1.45%"
"Oct 13, 2009","2.140","2.140","2.140","2.140","0.14%"
"Oct 12, 2009","2.137","2.137","2.137","2.137","-0.70%"
"Oct 09, 2009","2.152","2.152","2.152","2.152","2.62%"
"Oct 08, 2009","2.097","2.097","2.097","2.097","0.33%"
"Oct 07, 2009","2.090","2.090","2.090","2.090","-0.71%"
"Oct 06, 2009","2.105","2.105","2.105","2.105","0.48%"
"Oct 05, 2009","2.095","2.095","2.095","2.095","0.10%"
"Oct 02, 2009","2.093","2.093","2.093","2.093","-1.04%"
"Oct 01, 2009","2.115","2.115","2.115","2.115","-0.80%"
"Sep 30, 2009","2.132","2.132","2.132","2.132","-1.66%"
"Sep 29, 2009","2.168","2.168","2.168","2.168","-0.46%"
"Sep 28, 2009","2.178","2.178","2.178","2.178","-0.73%"
"Sep 25, 2009","2.194","2.194","2.194","2.194","0.37%"
"Sep 24, 2009","2.186","2.186","2.186","2.186","-1.75%"
"Sep 23, 2009","2.225","2.225","2.225","2.225","-1.68%"
"Sep 22, 2009","2.263","2.263","2.263","2.263","0.62%"
"Sep 21, 2009","2.249","2.249","2.249","2.249","-1.70%"
"Sep 18, 2009","2.288","2.288","2.288","2.288","-0.39%"
"Sep 17, 2009","2.297","2.297","2.297","2.297","0.39%"
"Sep 16, 2009","2.288","2.288","2.288","2.288","0.97%"
"Sep 15, 2009","2.266","2.266","2.266","2.266","0.53%"
"Sep 14, 2009","2.254","2.254","2.254","2.254","0.90%"
"Sep 11, 2009","2.234","2.234","2.234","2.234","-2.66%"
"Sep 10, 2009","2.295","2.295","2.295","2.295","0.39%"
